price,latitude,longitude,property_type,room_type,accommodates,bathrooms,bedrooms,beds,minimum_nights,number_of_reviews,review_scores_rating,review_scores_cleanliness,review_scores_checkin,review_scores_communication,review_scores_location,cancellation_policy
$157.00,38.87721085934667,-77.00368743828105,Apartment,Entire home/apt,4,1.0,1.0,2.0,2,3,100.0,10.0,10.0,10.0,10.0,moderate
$128.00,38.87995988798619,-77.00649062815522,Apartment,Entire home/apt,3,1.0,1.0,1.0,1,9,100.0,10.0,10.0,10.0,10.0,flexible
$135.00,38.87709830086352,-77.00458358162601,Apartment,Entire home/apt,2,1.0,1.0,1.0,6,6,97.0,9.0,10.0,10.0,9.0,moderate
$90.00,38.879616192921404,-77.004342091093,House,Private room,2,1.0,1.0,1.0,2,6,97.0,9.0,10.0,10.0,10.0,flexible
$102.00,38.878340623776324,-77.00073848638633,Apartment,Entire home/apt,2,1.0,1.0,1.0,5,6,88.0,9.0,9.0,10.0,10.0,strict
$195.00,38.87653673919233,-77.00623635021137,Apartment,Entire home/apt,2,1.0,1.0,1.0,1,1,100.0,10.0,10.0,10.0,10.0,flexible
$160.00,38.88032416553072,-77.00196170311936,Apartment,Entire home/apt,4,1.0,1.0,2.0,1,59,92.0,9.0,10.0,10.0,10.0,flexible
$95.00,38.88008663313953,-77.00731286761898,Apartment,Private room,2,1.0,1.0,1.0,1,1,80.0,10.0,10.0,10.0,10.0,strict
$88.00,38.880450270616386,-77.00651487497946,Apartment,Entire home/apt,2,1.0,1.0,1.0,3,1,100.0,10.0,10.0,10.0,8.0,flexible
$90.00,38.87869081735522,-77.00537826706774,Apartment,Private room,2,1.0,1.0,1.0,1,2,100.0,10.0,10.0,10.0,10.0,flexible
$85.00,38.879233286310786,-76.99764142575206,House,Private room,2,1.0,1.0,1.0,3,145,95.0,9.0,10.0,10.0,10.0,moderate
$120.00,38.874074930527634,-77.00230630109228,Apartment,Private room,2,1.0,1.0,1.0,2,8,94.0,9.0,9.0,10.0,9.0,flexible
$215.00,38.89119979601918,-76.95067898888742,House,Entire home/apt,10,2.0,4.0,4.0,2,29,74.0,7.0,9.0,9.0,6.0,strict
$50.00,38.891386864024476,-76.94886140643669,House,Private room,2,1.0,1.0,1.0,2,23,88.0,8.0,10.0,10.0,8.0,moderate
$100.00,38.892090684072606,-76.95031429342673,House,Private room,5,1.0,1.0,2.0,1,12,92.0,9.0,10.0,10.0,6.0,flexible
$55.00,38.893628118093574,-76.95924839198673,House,Private room,2,1.0,1.0,1.0,2,4,100.0,9.0,10.0,10.0,9.0,flexible
$129.00,38.88336419076364,-76.95062953305113,House,Entire home/apt,8,2.5,3.0,1.0,1,58,89.0,8.0,10.0,10.0,8.0,moderate
$45.00,38.89197311459737,-76.96042875243575,House,Private room,1,1.0,1.0,1.0,1,4,90.0,10.0,10.0,10.0,9.0,flexible
$299.00,38.90105594623935,-77.03415786399515,Apartment,Entire home/apt,5,2.0,2.0,2.0,3,34,95.0,10.0,10.0,9.0,10.0,super_strict_30
$309.00,38.900950918112436,-77.03297298271453,Apartment,Entire home/apt,5,2.0,2.0,2.0,4,8,95.0,10.0,10.0,9.0,10.0,super_strict_30
$180.00,38.90125874629514,-77.01451525359273,Apartment,Entire home/apt,4,2.0,2.0,3.0,7,48,99.0,10.0,10.0,10.0,10.0,moderate
$149.00,38.90553358833529,-77.0335504835965,Apartment,Entire home/apt,4,1.0,1.0,1.0,3,32,86.0,9.0,9.0,9.0,10.0,strict
$337.00,38.90045936261333,-77.02641873256846,Apartment,Entire home/apt,5,2.0,2.0,3.0,3,6,100.0,10.0,10.0,10.0,10.0,moderate
$299.00,38.90107448776449,-77.01924634724715,Apartment,Entire home/apt,4,2.0,2.0,2.0,3,7,83.0,10.0,10.0,9.0,9.0,super_strict_30
$249.00,38.89371298078329,-77.0187753708404,Apartment,Entire home/apt,3,1.0,1.0,1.0,4,6,96.0,10.0,10.0,9.0,10.0,super_strict_30
$126.00,38.900105122923385,-77.01525406577075,Apartment,Entire home/apt,3,1.5,0.0,1.0,2,5,90.0,8.0,9.0,10.0,10.0,strict
$99.00,38.901896997268096,-77.02814153458705,Apartment,Private room,2,1.0,1.0,1.0,1,1,100.0,10.0,8.0,10.0,10.0,flexible
$299.00,38.900891605447285,-77.01954765941605,Apartment,Entire home/apt,4,2.0,2.0,2.0,3,2,90.0,9.0,8.0,9.0,10.0,super_strict_30
$199.00,38.90285280700332,-77.01899089961779,Apartment,Entire home/apt,2,1.0,1.0,1.0,7,1,100.0,10.0,8.0,10.0,10.0,super_strict_30
$309.00,38.89423150992365,-77.01865832188987,Apartment,Entire home/apt,4,2.0,2.0,2.0,4,1,80.0,10.0,10.0,10.0,10.0,super_strict_30
$130.00,38.902852240877344,-77.0223174462932,Apartment,Entire home/apt,4,1.0,1.0,2.0,1,85,91.0,9.0,10.0,10.0,10.0,strict
$50.00,38.90154862124502,-77.01226564473566,Apartment,Shared room,1,1.0,1.0,1.0,2,6,97.0,9.0,10.0,10.0,9.0,moderate
$49.00,38.905855581292364,-77.01220520404904,House,Shared room,2,1.5,1.0,1.0,1,3,73.0,9.0,8.0,9.0,9.0,strict
$250.00,38.905122099235506,-77.0271197105367,other,Entire home/apt,4,1.0,2.0,2.0,3,4,100.0,10.0,10.0,10.0,10.0,strict
$311.00,38.89388716603445,-77.01881190665102,Apartment,Entire home/apt,5,2.0,2.0,3.0,3,3,100.0,10.0,10.0,10.0,10.0,moderate
$95.00,38.89933372321029,-77.01645959958827,Apartment,Entire home/apt,2,1.0,0.0,1.0,2,35,76.0,7.0,9.0,9.0,10.0,strict
$59.00,38.90405978432319,-77.01706374248421,Apartment,Shared room,1,1.0,1.0,2.0,1,1,100.0,10.0,10.0,10.0,10.0,moderate
$167.00,38.89538941669323,-77.02054559041096,Apartment,Entire home/apt,2,1.0,1.0,1.0,5,31,94.0,9.0,9.0,9.0,10.0,strict
$104.00,38.905682895633724,-77.01202826957521,House,Private room,3,1.5,1.0,1.0,2,11,75.0,8.0,10.0,9.0,8.0,moderate
$190.00,38.90388849158853,-77.01749486149015,Apartment,Entire home/apt,2,1.0,0.0,1.0,3,13,95.0,9.0,10.0,10.0,10.0,strict
$200.00,38.90531248565961,-77.02209897261453,Apartment,Entire home/apt,3,1.0,1.0,2.0,2,14,98.0,10.0,10.0,10.0,10.0,flexible
$215.00,38.90077203974195,-77.02467739915396,Apartment,Entire home/apt,3,1.0,1.0,2.0,1,34,95.0,9.0,10.0,10.0,10.0,strict
$110.00,38.90416964749964,-77.01281494200794,House,Private room,2,1.5,1.0,1.0,2,33,91.0,9.0,10.0,9.0,9.0,moderate
$249.00,38.89283202222796,-77.018999047752,Apartment,Entire home/apt,3,1.0,1.0,1.0,4,4,100.0,10.0,10.0,10.0,10.0,super_strict_30
$250.00,38.90157468241543,-77.01577666082869,Apartment,Entire home/apt,4,2.0,2.0,2.0,3,1,100.0,10.0,10.0,10.0,10.0,moderate
