;id;fecha;producto_latitud;producto_longitud;url;tipo_propiedad
34;MLA1330407427;22/11/2023;-34.7256852;-58.2512234;https://inmueble.mercadolibre.com.ar/MLA-1330407427-amplio-galpon-apto-local-comercial-con-excelente-ubicacion-cerca-de-la-avenida-mitre-_JM;Local
35;MLA1337701192;22/11/2023;-34.6426055;-58.7949579;https://inmueble.mercadolibre.com.ar/MLA-1337701192-local-comercial-en-esquina-160-m-s-avenida-centro-moreno-_JM;Local
36;MLA1344830638;22/11/2023;-34.6451189;-58.5203535;https://inmueble.mercadolibre.com.ar/MLA-1344830638-excelente-deposito-local-a-pocas-cuadras-de-la-gral-paz-_JM;Local
37;MLA1346886683;22/11/2023;-32.9481881;-60.6399787;https://inmueble.mercadolibre.com.ar/MLA-1346886683-local-centro-comercio-mitre-galeria-mercurio-_JM;Local
38;MLA1354995636;22/11/2023;-37.8367936;-57.5017138;https://inmueble.mercadolibre.com.ar/MLA-1354995636-local-comercial-en-venta-acapulco-santa-clara-del-mar-_JM;Local
39;MLA1361528113;22/11/2023;-34.4355579;-58.7810183;https://inmueble.mercadolibre.com.ar/MLA-1361528113-venta-local-de-157mts2-sobre-ruta-26-del-viso-_JM;Local
40;MLA1363484435;22/11/2023;-34.6086278;-58.398428;https://inmueble.mercadolibre.com.ar/MLA-1363484435-local-en-venta-balvanera-c-depo-oficina-y-sotano-_JM;Local
41;MLA1365190139;22/11/2023;-37.9646072;-57.5559628;https://inmueble.mercadolibre.com.ar/MLA-1365190139-alquilo-local-700-mts-av-constitucion-5200-_JM;Local
42;MLA1368276266;22/11/2023;-34.549509;-58.5008797;https://inmueble.mercadolibre.com.ar/MLA-1368276266-alquiler-importante-y-unico-local-en-reconocida-esquina-excelente-imagen-y-publicidad-a-pasos-de-caba-sobre-avenida-vicente-lopez-villa-martelli-zufriategui-esquina-estados-unidos-_JM;Local
43;MLA1370175997;22/11/2023;-34.4446451;-58.8814831;https://inmueble.mercadolibre.com.ar/MLA-1370175997-alquiler-local-comercial-panamericana-km-50-pilar-_JM;Local
44;MLA1371174519;22/11/2023;-34.6221489;-58.7494166;https://inmueble.mercadolibre.com.ar/MLA-1371174519-venta-local-paso-del-rey-_JM;Local
45;MLA1372419843;22/11/2023;-34.6752837;-58.5563604;https://inmueble.mercadolibre.com.ar/MLA-1372419843-venta-local-san-justo-_JM;Local
46;MLA1372852137;22/11/2023;-38.0429228;-57.5466147;https://inmueble.mercadolibre.com.ar/MLA-1372852137-excelente-esquina-comercial-en-alquiler-_JM;Local
47;MLA1373089467;22/11/2023;-34.629262;-58.459053;https://inmueble.mercadolibre.com.ar/MLA-1373089467-local-en-alquiler-ubicado-en-flores-capital-federal-_JM;Local
48;MLA1373497819;22/11/2023;-34.9042222;-58.0444605;https://inmueble.mercadolibre.com.ar/MLA-1373497819-local-en-venta-en-gorina-485-esq138-paseo-mitre-local-23-uf48-_JM;Local
49;MLA1373565753;22/11/2023;-34.7110216;-58.3872095;https://inmueble.mercadolibre.com.ar/MLA-1373565753-local-en-venta-en-lanus-este-lanus-_JM;Local
50;MLA1374212561;22/11/2023;-34.6031807;-58.4231186;https://inmueble.mercadolibre.com.ar/MLA-1374212561-local-almagro-_JM;Local
